imdb_rating,metascore,tomato,title,year,viewLOVE,meta,award,nomination
65,68,79,Take This Waltz,2011,-14,good,3 wins & 19 nominations.,19
73,69,82,Talk to Me,2007,-9,good,9 wins & 13 nominations.,13
39,,16,Textuality,2011,23,na,N/A,NA
62,,43,That Old Feeling,1997,19,na,2 nominations.,2
41,19,21,Thomas and the Magic Railroad,2000,20,bad,2 nominations.,2
60,61,75,Three Men and a Baby,1987,-15,good,2 wins & 1 nomination.,1
60,36,28,Three to Tango,1999,32,bad,N/A,NA
71,47,38,The Time Traveler's Wife,2009,33,average,1 win & 5 nominations.,5
71,46,42,Tommy Boy,1995,29,average,1 win & 2 nominations.,2
75,57,82,Total Recall,1990,-7,average,Nominated for 2 Oscars. Another 7 wins & 14 nominations.,15
70,61,65,Traitor,2008,5,good,5 nominations.,5
60,,10,Trapped in Paradise,1994,50,na,N/A,NA
75,,81,Treed Murray,2001,-6,na,4 wins & 5 nominations.,5
72,63,71,True Lies,1994,1,good,Nominated for 1 Oscar. Another 8 wins & 22 nominations.,23
42,18,8,Turn It Up,2000,34,bad,1 nomination.,1
54,30,21,The Tuxedo,2002,33,bad,2 wins & 1 nomination.,1
64,68,58,Twister,1996,6,good,Nominated for 2 Oscars. Another 11 wins & 15 nominations.,16
58,69,77,Undercover Brother,2002,-19,good,1 win & 7 nominations.,7
56,35,21,Urban Legend,1998,35,bad,1 win & 2 nominations.,2
58,,17,Vendetta,2013,41,na,N/A,NA
72,60,80,Videodrome,1983,-8,good,3 wins & 7 nominations.,7
72,76,77,The Virgin Suicides,1999,-5,good,3 wins & 14 nominations.,14
68,43,31,The Vow,2012,37,average,3 wins & 14 nominations.,14
52,33,13,Welcome to Mooseport,2004,39,bad,N/A,NA
61,32,40,Wrong Turn,2003,21,bad,3 nominations.,3
74,64,81,X-Men,2000,-7,good,13 wins & 26 nominations.,26
